project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
orson-charts,,d8a1d3c7ce9612f21dc7ad4430734505b3d0dfb8,/home/dorma10/mutation-analysis/projects/orson-charts/src/test/java/org/jfree/chart3d/legend/ColorScaleElementTest.java,org.jfree.chart3d.legend.ColorScaleElementTest,/home/dorma10/mutation-analysis/projects/orson-charts/src/main/java/org/jfree/chart3d/legend/ColorScaleElement.java,org.jfree.chart3d.legend.ColorScaleElement,0.11912225705329152,957.0,0.22399999999999998,True,False,False,False,False,False,False,False,411,2643.0232290065305,87,26,71,71,8,6,87,54,33,39,0.22857142857142854,1,0.2734375,0,0,0.0,16,8,0,8,42,115,186.74588901026718,8,8,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,True,False,True,0.7695746270474046,0.29525480791926384
orson-charts,,d8a1d3c7ce9612f21dc7ad4430734505b3d0dfb8,/home/dorma10/mutation-analysis/projects/orson-charts/src/test/java/org/jfree/chart3d/legend/ColorScaleLegendBuilderTest.java,org.jfree.chart3d.legend.ColorScaleLegendBuilderTest,/home/dorma10/mutation-analysis/projects/orson-charts/src/main/java/org/jfree/chart3d/legend/ColorScaleLegendBuilder.java,org.jfree.chart3d.legend.ColorScaleLegendBuilder,0.3288288288288289,222.0,0.39130434782608703,True,True,False,False,False,False,False,False,222,1461.148210528707,20,14,10,10,3,2,22,0,23,24,0.4166666666666667,3,0.4666666666666667,0,0,0.0,10,3,0,3,23,80,194.54221726289325,10,4,8,8,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4,False,False,False,False,False,True,False,False,0.8869043946266174,0.7903763651847839
orson-charts,,d8a1d3c7ce9612f21dc7ad4430734505b3d0dfb8,/home/dorma10/mutation-analysis/projects/orson-charts/src/test/java/org/jfree/chart3d/legend/StandardLegendBuilderTest.java,org.jfree.chart3d.legend.StandardLegendBuilderTest,/home/dorma10/mutation-analysis/projects/orson-charts/src/main/java/org/jfree/chart3d/legend/StandardLegendBuilder.java,org.jfree.chart3d.legend.StandardLegendBuilder,0.2915129151291513,271.0,0.3,True,True,False,False,False,False,False,False,443,2824.1438883687597,58,25,38,38,6,3,147,104,43,47,0.16374269005847952,3,0.2333333333333333,0,0,0.0,20,6,0,6,47,89,224.56946640504316,12,5,10,10,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4,False,False,False,False,False,True,False,True,0.8784528419375419,0.7926654517650604
orson-charts,,d8a1d3c7ce9612f21dc7ad4430734505b3d0dfb8,/home/dorma10/mutation-analysis/projects/orson-charts/src/test/java/org/jfree/chart3d/label/StandardCategoryLabelGeneratorTest.java,org.jfree.chart3d.label.StandardCategoryLabelGeneratorTest,/home/dorma10/mutation-analysis/projects/orson-charts/src/main/java/org/jfree/chart3d/label/StandardCategoryLabelGenerator.java,org.jfree.chart3d.label.StandardCategoryLabelGenerator,0.19306930693069307,202.0,0.30952380952380953,True,False,False,False,False,False,False,False,205,1457.8231087950674,28,5,21,21,5,1,6,0,15,15,0.6,1,0.2,0,0,0.0,7,5,4,1,19,76,180.7544305409558,8,4,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4,False,False,False,False,False,False,False,False,0.8174805300576347,0.7191178798675537
orson-charts,,d8a1d3c7ce9612f21dc7ad4430734505b3d0dfb8,/home/dorma10/mutation-analysis/projects/orson-charts/src/test/java/org/jfree/chart3d/label/StandardPieLabelGeneratorTest.java,org.jfree.chart3d.label.StandardPieLabelGeneratorTest,/home/dorma10/mutation-analysis/projects/orson-charts/src/main/java/org/jfree/chart3d/label/StandardPieLabelGenerator.java,org.jfree.chart3d.label.StandardPieLabelGenerator,0.3046875,128.0,0.4814814814814815,True,False,False,False,False,False,False,False,184,1355.368159816937,15,5,10,10,7,1,4,0,6,6,0.3333333333333333,0,0.14285714285714285,0,0,0.0,5,7,6,1,15,73,177.21068557625856,8,4,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4,False,False,False,False,False,False,False,False,0.8785115361213685,0.8173315525054932
orson-charts,,d8a1d3c7ce9612f21dc7ad4430734505b3d0dfb8,/home/dorma10/mutation-analysis/projects/orson-charts/src/test/java/org/jfree/chart3d/label/StandardCategoryItemLabelGeneratorTest.java,org.jfree.chart3d.label.StandardCategoryItemLabelGeneratorTest,/home/dorma10/mutation-analysis/projects/orson-charts/src/main/java/org/jfree/chart3d/label/StandardCategoryItemLabelGenerator.java,org.jfree.chart3d.label.StandardCategoryItemLabelGenerator,0.31690140845070425,142.0,0.3947368421052632,True,False,False,False,False,False,False,False,217,1708.9998933306476,17,8,10,10,6,2,8,0,13,13,0.4666666666666667,1,0.2380952380952381,0,0,0.0,7,6,4,2,18,76,180.7544305409558,8,4,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4,False,False,False,False,False,False,False,False,0.8246296729360308,0.6983424425125122
orson-charts,,d8a1d3c7ce9612f21dc7ad4430734505b3d0dfb8,/home/dorma10/mutation-analysis/projects/orson-charts/src/test/java/org/jfree/chart3d/label/StandardXYZLabelGeneratorTest.java,org.jfree.chart3d.label.StandardXYZLabelGeneratorTest,/home/dorma10/mutation-analysis/projects/orson-charts/src/main/java/org/jfree/chart3d/label/StandardXYZLabelGenerator.java,org.jfree.chart3d.label.StandardXYZLabelGenerator,0.3679245283018868,106.0,0.5416666666666666,True,False,False,False,False,False,False,False,156,1217.3489863157286,15,5,10,10,6,1,4,0,6,6,0.3333333333333333,1,0.16666666666666666,0,0,0.0,5,6,5,1,12,73,182.60311785784455,8,4,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4,False,False,False,False,False,False,False,False,0.850506591796875,0.8199419677257538
orson-charts,,d8a1d3c7ce9612f21dc7ad4430734505b3d0dfb8,/home/dorma10/mutation-analysis/projects/orson-charts/src/test/java/org/jfree/chart3d/data/KeyedValues3DItemKeyTest.java,org.jfree.chart3d.data.KeyedValues3DItemKeyTest,/home/dorma10/mutation-analysis/projects/orson-charts/src/main/java/org/jfree/chart3d/data/KeyedValues3DItemKey.java,org.jfree.chart3d.data.KeyedValues3DItemKey,0.2669172932330827,266.0,0.3877551020408163,True,False,False,False,False,False,False,False,176,1043.5366089806364,18,3,9,9,3,3,3,0,33,33,0.8928571428571429,1,0.7777777777777778,0,0,0.0,9,3,0,0,20,78,157.15173984832597,8,4,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,False,False,False,0.8289546370506287,0.3523238301277161
orson-charts,,d8a1d3c7ce9612f21dc7ad4430734505b3d0dfb8,/home/dorma10/mutation-analysis/projects/orson-charts/src/test/java/org/jfree/chart3d/data/DefaultKeyedValues3DTest.java,org.jfree.chart3d.data.DefaultKeyedValues3DTest,/home/dorma10/mutation-analysis/projects/orson-charts/src/main/java/org/jfree/chart3d/data/DefaultKeyedValues3D.java,org.jfree.chart3d.data.DefaultKeyedValues3D,0.5933503836317136,391.0,0.7777777777777778,True,True,False,False,False,False,False,False,341,2022.305317339136,48,4,30,30,4,4,93,33,60,66,0.3602941176470588,4,0.3472222222222222,0,0,0.0,18,4,0,4,59,171,531.7625419498538,18,6,15,15,1,1,3,3,0,0,-2.0,2,0.3333333333333333,0,0,0.0,3,1,0,1,4,False,False,False,False,False,False,False,False,0.8352054332693418,0.35311635211110115
orson-charts,,d8a1d3c7ce9612f21dc7ad4430734505b3d0dfb8,/home/dorma10/mutation-analysis/projects/orson-charts/src/test/java/org/jfree/chart3d/data/StandardPieDataset3DTest.java,org.jfree.chart3d.data.StandardPieDataset3DTest,/home/dorma10/mutation-analysis/projects/orson-charts/src/main/java/org/jfree/chart3d/data/StandardPieDataset3D.java,org.jfree.chart3d.data.StandardPieDataset3D,0.5445544554455446,101.0,0.76,True,True,False,False,True,False,False,False,224,1606.995953356269,26,4,14,14,1,1,21,0,45,46,0.6363636363636364,2,0.8333333333333334,0,0,0.0,12,1,0,1,36,104,342.214881965918,17,5,13,13,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,6,False,False,False,False,False,False,False,False,0.9497109055519104,0.5102196857333183
