project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
spring-data-keyvalue,,eee744f2f631881f3b50e694af68a6b72de55fb0,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/test/java/org/springframework/data/map/MapKeyValueAdapterUnitTests.java,org.springframework.data.map.MapKeyValueAdapterUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/main/java/org/springframework/data/map/MapKeyValueAdapter.java,org.springframework.data.map.MapKeyValueAdapter,0.6547619047619048,84.0,0.7096774193548387,True,True,False,False,False,False,False,False,195,880.7506405543463,41,11,26,26,2,2,99,93,6,16,0.02197802197802198,13,0.16666666666666666,0,0,0.0,15,2,0,2,28,184,491.4910088304367,83,7,63,63,6,3,112,34,78,78,0.34502923976608185,2,0.3333333333333333,0,0,0.0,20,6,0,6,21,False,False,False,False,False,True,False,False,0.762314248085022,0.5592832091179761
spring-data-keyvalue,,eee744f2f631881f3b50e694af68a6b72de55fb0,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/test/java/org/springframework/data/map/SimpleKeyValueRepositoryUnitTests.java,org.springframework.data.map.SimpleKeyValueRepositoryUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/main/java/org/springframework/data/keyvalue/repository/support/SimpleKeyValueRepository.java,org.springframework.data.keyvalue.repository.support.SimpleKeyValueRepository,0.2553191489361702,94.0,0.41025641025641024,False,False,False,False,False,False,False,False,208,780.1839341349496,53,12,39,39,2,2,46,1,45,47,0.4358974358974359,5,0.6785714285714286,0,0,0.0,14,2,0,2,38,33,101.10570155403828,2,3,1,1,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,False,False,False,False,False,True,False,True,0.6359933572156089,0.683188259601593
spring-data-keyvalue,,eee744f2f631881f3b50e694af68a6b72de55fb0,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/test/java/org/springframework/data/map/QuerydslKeyValueRepositoryUnitTests.java,org.springframework.data.map.QuerydslKeyValueRepositoryUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/main/java/org/springframework/data/keyvalue/repository/support/QuerydslKeyValueRepository.java,org.springframework.data.keyvalue.repository.support.QuerydslKeyValueRepository,0.5547445255474452,137.0,0.8484848484848485,True,True,False,False,False,False,False,False,207,1034.5863707473868,53,23,42,42,2,2,49,43,6,19,0.2,9,0.2272727272727273,0,0,0.0,11,2,0,2,29,192,526.3280915920061,99,20,85,85,0,0,91,91,0,0,-0.16666666666666666,0,0.0,0,0,0.0,14,0,0,0,19,False,False,False,False,False,True,False,True,0.5603224255821921,0.47278879050697603
spring-data-keyvalue,,eee744f2f631881f3b50e694af68a6b72de55fb0,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/test/java/org/springframework/data/keyvalue/core/SpelQueryEngineUnitTests.java,org.springframework.data.keyvalue.core.SpelQueryEngineUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/main/java/org/springframework/data/keyvalue/core/SpelQueryEngine.java,org.springframework.data.keyvalue.core.SpelQueryEngine,0.5135135135135135,148.0,0.8695652173913043,True,False,False,False,False,False,False,False,110,648.5965990762535,27,10,21,21,1,1,15,15,0,3,-0.2,5,0.16666666666666666,0,0,0.0,6,1,0,1,14,127,576.6374617768328,39,20,35,35,5,4,3,0,3,5,0.6666666666666666,0,0.45,0,0,0.0,4,5,0,0,10,False,False,False,False,False,False,False,False,0.4389012058575948,0.6157446141753878
spring-data-keyvalue,,eee744f2f631881f3b50e694af68a6b72de55fb0,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/test/java/org/springframework/data/keyvalue/core/KeyValuePersistenceExceptionTranslatorUnitTests.java,org.springframework.data.keyvalue.core.KeyValuePersistenceExceptionTranslatorUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/main/java/org/springframework/data/keyvalue/core/KeyValuePersistenceExceptionTranslator.java,org.springframework.data.keyvalue.core.KeyValuePersistenceExceptionTranslator,0.8727272727272727,55.0,1.0,True,False,False,False,False,False,True,False,60,311.027993879147,6,6,5,5,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,75,155.54017326911503,27,5,20,20,1,1,6,0,15,15,0.6,1,0.8571428571428571,0,0,0.0,7,1,0,0,7,False,False,False,False,False,False,False,False,0.6035798192024231,0.5552599344934736
spring-data-keyvalue,,eee744f2f631881f3b50e694af68a6b72de55fb0,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/test/java/org/springframework/data/keyvalue/core/ForwardingCloseableIteratorUnitTests.java,org.springframework.data.keyvalue.core.ForwardingCloseableIteratorUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/main/java/org/springframework/data/keyvalue/core/ForwardingCloseableIterator.java,org.springframework.data.keyvalue.core.ForwardingCloseableIterator,0.8666666666666667,15.0,1.0,True,True,False,False,False,False,False,False,91,479.5088551910623,9,4,4,4,2,2,3,0,7,7,0.5,2,0.6,0,0,0.0,5,2,0,2,8,103,272.21444206476724,34,11,29,29,2,2,0,0,10,10,1.0,2,0.6,0,0,0.0,5,2,0,0,9,False,False,False,False,False,False,False,False,0.8816403031349183,0.4843523919582367
spring-data-keyvalue,,eee744f2f631881f3b50e694af68a6b72de55fb0,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/test/java/org/springframework/data/keyvalue/core/KeyValueTemplateUnitTests.java,org.springframework.data.keyvalue.core.KeyValueTemplateUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/main/java/org/springframework/data/keyvalue/core/KeyValueTemplate.java,org.springframework.data.keyvalue.core.KeyValueTemplate,0.6957605985037406,401.0,0.9133858267716536,True,True,False,False,False,False,False,False,478,1974.9246024082995,114,22,85,85,8,7,386,366,20,52,0.06349206349206349,3,0.08189655172413793,0,0,0.0,29,8,0,8,74,592,1612.8986340929987,362,31,309,309,8,7,617,0,761,761,0.5346907993966817,5,0.2358490566037736,0,0,0.0,53,8,0,8,96,False,False,False,False,False,True,False,False,0.4812247989506557,0.5899594561109003
spring-data-keyvalue,,eee744f2f631881f3b50e694af68a6b72de55fb0,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/test/java/org/springframework/data/keyvalue/core/IterableConverterUnitTests.java,org.springframework.data.keyvalue.core.IterableConverterUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/main/java/org/springframework/data/keyvalue/core/IterableConverter.java,org.springframework.data.keyvalue.core.IterableConverter,0.48,25.0,0.4,True,False,False,False,False,False,True,False,55,332.97749107159206,3,4,1,1,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,5,68,157.10227294062486,20,9,16,16,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,4,False,False,False,False,False,False,False,False,0.8014461100101471,0.6021143049001694
spring-data-keyvalue,,eee744f2f631881f3b50e694af68a6b72de55fb0,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/test/java/org/springframework/data/keyvalue/core/mapping/BasicKeyValuePersistentEntityUnitTests.java,org.springframework.data.keyvalue.core.mapping.BasicKeyValuePersistentEntityUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/main/java/org/springframework/data/keyvalue/core/mapping/BasicKeyValuePersistentEntity.java,org.springframework.data.keyvalue.core.mapping.BasicKeyValuePersistentEntity,0.8372093023255814,43.0,1.0,True,False,False,False,False,False,False,False,98,690.4147570857326,13,8,9,9,4,4,5,4,1,3,0.0,1,0.375,0,0,0.0,4,4,0,4,11,90,302.21715614481775,21,10,18,18,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,0,3,False,False,False,False,False,False,False,False,0.6269752159714699,0.646912944316864
spring-data-keyvalue,,eee744f2f631881f3b50e694af68a6b72de55fb0,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/test/java/org/springframework/data/keyvalue/repository/SimpleKeyValueRepositoryUnitTests.java,org.springframework.data.keyvalue.repository.SimpleKeyValueRepositoryUnitTests,/home/dorma10/mutation-analysis/projects/spring-data-keyvalue/src/main/java/org/springframework/data/keyvalue/repository/support/SimpleKeyValueRepository.java,org.springframework.data.keyvalue.repository.support.SimpleKeyValueRepository,0.6489361702127661,94.0,0.8974358974358975,False,True,False,False,False,False,False,True,208,780.1839341349496,53,12,39,39,2,2,46,1,45,47,0.4358974358974359,5,0.6785714285714286,0,0,0.0,14,2,0,2,38,214,702.1655407214546,97,23,83,83,3,3,12,0,79,80,0.8589743589743589,2,0.6428571428571429,0,0,0.0,14,3,0,2,29,False,False,False,False,False,True,False,True,0.6359933572156089,0.627449651559194
