project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
spring-ws,spring-ws-security,a7e5aeb68c9e5dffe7a21069ad2d1d0330c00c60,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/test/java/org/springframework/ws/soap/security/wss4j/support/CryptoFactoryBeanTest.java,org.springframework.ws.soap.security.wss4j.support.CryptoFactoryBeanTest,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/main/java/org/springframework/ws/soap/security/wss4j/support/CryptoFactoryBean.java,org.springframework.ws.soap.security.wss4j.support.CryptoFactoryBean,0.25925925925925924,54.0,0.5714285714285714,False,True,False,False,False,False,False,False,196,1505.099724479902,32,11,18,18,4,4,53,15,38,39,0.3333333333333333,3,0.26785714285714285,0,0,0.0,14,4,0,4,28,67,216.15681497238631,20,7,17,17,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,1,7,False,False,False,False,False,True,False,False,0.8315855818135398,0.8028505047162374
spring-ws,spring-ws-security,a7e5aeb68c9e5dffe7a21069ad2d1d0330c00c60,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/test/java/org/springframework/ws/soap/security/wss4j/callback/SpringSecurityPasswordValidationCallbackHandlerTest.java,org.springframework.ws.soap.security.wss4j.callback.SpringSecurityPasswordValidationCallbackHandlerTest,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/main/java/org/springframework/ws/soap/security/wss4j/callback/SpringSecurityPasswordValidationCallbackHandler.java,org.springframework.ws.soap.security.wss4j.callback.SpringSecurityPasswordValidationCallbackHandler,0.5,34.0,0.5,False,True,False,False,False,False,False,False,116,884.875093205366,29,16,22,22,2,2,17,13,4,6,0.0,5,0.35714285714285715,0,0,0.0,7,2,0,2,18,81,366.2614280874895,21,15,19,19,4,4,0,0,1,1,0.0,0,1.0,0,0,0.0,2,4,0,4,7,False,False,False,False,False,True,False,False,0.5986192779881614,0.3780957460403441
spring-ws,spring-ws-security,a7e5aeb68c9e5dffe7a21069ad2d1d0330c00c60,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/test/java/org/springframework/ws/soap/security/wss4j/callback/KeyStoreCallbackHandlerTest.java,org.springframework.ws.soap.security.wss4j.callback.KeyStoreCallbackHandlerTest,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/main/java/org/springframework/ws/soap/security/wss4j/callback/KeyStoreCallbackHandler.java,org.springframework.ws.soap.security.wss4j.callback.KeyStoreCallbackHandler,0.3947368421052632,38.0,0.375,False,False,False,False,False,False,False,False,123,974.1360209685643,20,9,13,13,3,3,10,0,11,11,0.3333333333333333,2,0.4761904761904762,0,0,0.0,7,3,0,3,20,56,189.4560992737077,12,7,10,10,2,2,0,0,1,1,0.0,0,1.0,0,0,0.0,2,2,0,2,5,False,False,False,False,False,False,False,False,0.7187416510922569,0.7203018367290497
spring-ws,spring-ws-security,a7e5aeb68c9e5dffe7a21069ad2d1d0330c00c60,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/test/java/org/springframework/ws/soap/security/support/TrustManagersFactoryBeanTest.java,org.springframework.ws.soap.security.support.TrustManagersFactoryBeanTest,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/main/java/org/springframework/ws/soap/security/support/TrustManagersFactoryBean.java,org.springframework.ws.soap.security.support.TrustManagersFactoryBean,0.4358974358974359,39.0,0.6666666666666666,True,True,False,False,False,False,False,False,101,564.5058091042251,12,6,5,5,4,3,17,13,4,4,-0.13333333333333333,1,0.2857142857142857,0,0,0.0,7,4,0,4,13,46,94.68943205049177,11,4,9,9,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4,False,False,False,False,False,False,False,False,0.8752340163503375,0.5880923271179199
spring-ws,spring-ws-security,a7e5aeb68c9e5dffe7a21069ad2d1d0330c00c60,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/test/java/org/springframework/ws/soap/security/support/KeyManagersFactoryBeanTest.java,org.springframework.ws.soap.security.support.KeyManagersFactoryBeanTest,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/main/java/org/springframework/ws/soap/security/support/KeyManagersFactoryBean.java,org.springframework.ws.soap.security.support.KeyManagersFactoryBean,0.37777777777777777,45.0,0.5714285714285714,True,True,False,False,False,False,False,False,113,666.1666602399158,14,6,6,6,5,4,23,18,5,5,-0.09523809523809523,1,0.25,0,0,0.0,8,5,0,5,15,46,94.68943205049177,11,4,9,9,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4,False,False,False,False,False,False,False,False,0.8665652349591255,0.6149393916130066
spring-ws,spring-ws-security,a7e5aeb68c9e5dffe7a21069ad2d1d0330c00c60,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/test/java/org/springframework/ws/soap/security/xwss/XwsSecurityInterceptorTest.java,org.springframework.ws.soap.security.xwss.XwsSecurityInterceptorTest,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/main/java/org/springframework/ws/soap/security/xwss/XwsSecurityInterceptor.java,org.springframework.ws.soap.security.xwss.XwsSecurityInterceptor,0.0,64.0,0.02,False,False,False,False,False,False,False,True,189,1710.2498958337005,36,21,29,29,3,3,11,1,10,10,0.26666666666666666,2,0.42857142857142855,0,0,0.0,7,3,0,3,19,182,527.9896399370269,64,11,48,48,1,1,105,90,15,15,0.0,10,0.375,0,0,0.0,16,1,0,1,31,False,False,False,False,False,True,False,False,0.7326546311378479,0.5779713997617364
spring-ws,spring-ws-security,a7e5aeb68c9e5dffe7a21069ad2d1d0330c00c60,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/test/java/org/springframework/ws/soap/security/xwss/callback/SimplePasswordValidationCallbackHandlerTest.java,org.springframework.ws.soap.security.xwss.callback.SimplePasswordValidationCallbackHandlerTest,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/main/java/org/springframework/ws/soap/security/wss4j/callback/SimplePasswordValidationCallbackHandler.java,org.springframework.ws.soap.security.wss4j.callback.SimplePasswordValidationCallbackHandler,0.0,31.0,0.0,False,False,False,False,False,False,False,False,70,516.2786400032896,12,8,8,8,1,1,0,0,6,6,1.0,0,1.0,0,0,0.0,4,1,0,1,10,97,293.68696789339657,23,5,17,17,1,1,0,0,15,15,1.0,0,1.0,0,0,0.0,6,1,0,1,13,False,False,False,False,False,False,False,False,0.7228855937719345,0.7068015038967133
spring-ws,spring-ws-security,a7e5aeb68c9e5dffe7a21069ad2d1d0330c00c60,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/test/java/org/springframework/ws/soap/security/xwss/callback/SimpleUsernamePasswordCallbackHandlerTest.java,org.springframework.ws.soap.security.xwss.callback.SimpleUsernamePasswordCallbackHandlerTest,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/main/java/org/springframework/ws/soap/security/xwss/callback/SimpleUsernamePasswordCallbackHandler.java,org.springframework.ws.soap.security.xwss.callback.SimpleUsernamePasswordCallbackHandler,0.64,25.0,0.6521739130434783,False,False,False,False,False,False,False,False,90,558.0707468523101,9,8,3,3,2,1,6,0,9,9,0.4,2,0.6666666666666666,0,0,0.0,6,2,0,2,10,49,145.01682210419045,11,5,8,8,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,1,7,False,False,False,False,False,False,False,False,0.8451079030831655,0.6859860817591349
spring-ws,spring-ws-security,a7e5aeb68c9e5dffe7a21069ad2d1d0330c00c60,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/test/java/org/springframework/ws/soap/security/xwss/callback/KeyStoreCallbackHandlerTest.java,org.springframework.ws.soap.security.xwss.callback.KeyStoreCallbackHandlerTest,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/main/java/org/springframework/ws/soap/security/wss4j/callback/KeyStoreCallbackHandler.java,org.springframework.ws.soap.security.wss4j.callback.KeyStoreCallbackHandler,0.0,38.0,0.0,False,False,False,False,False,False,False,False,123,974.1360209685643,20,9,13,13,3,3,10,0,11,11,0.3333333333333333,2,0.4761904761904762,0,0,0.0,7,3,0,3,20,37,77.98501340079045,4,2,2,2,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,5,False,False,False,False,False,False,False,False,0.7187416510922569,0.8712855577468872
spring-ws,spring-ws-security,a7e5aeb68c9e5dffe7a21069ad2d1d0330c00c60,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/test/java/org/springframework/ws/soap/security/xwss/callback/DefaultTimestampValidatorTest.java,org.springframework.ws.soap.security.xwss.callback.DefaultTimestampValidatorTest,/home/dorma10/mutation-analysis/projects/spring-ws/spring-ws-security/src/main/java/org/springframework/ws/soap/security/xwss/callback/DefaultTimestampValidator.java,org.springframework.ws.soap.security.xwss.callback.DefaultTimestampValidator,0.2541254125412541,303.0,0.8333333333333334,False,False,False,False,False,False,False,False,133,915.5643110513116,33,6,27,27,0,0,15,15,0,6,0.1,0,0.0,0,0,0.0,6,0,0,0,25,45,103.5783681597883,5,3,2,2,1,1,0,0,3,3,1.0,0,1.0,0,0,0.0,3,1,0,1,7,False,False,False,False,False,False,False,False,0.4156886860728264,0.8288850784301758
