project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/SimpleObjectPoolTestCase.java,io.undertow.util.SimpleObjectPoolTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/SimpleObjectPool.java,io.undertow.util.SimpleObjectPool,0.0,24,0.0,False,False,False,False,False,False,False,False,93,603.1056360638946,5,5,2,2,4,3,0,0,3,3,1.0,0,0.6666666666666666,0,0,0.0,3,4,0,4,5,74,283.1121962247399,15,5,12,12,1,1,3,3,0,0,-2.0,2,0.3333333333333333,0,0,0.0,3,1,1,0,4,False,False,False,False,False,False,False,False,0.5514685288071632,0.4113084673881531
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/SameSiteNoneIncompatibleClientCheckerTestCase.java,io.undertow.util.SameSiteNoneIncompatibleClientCheckerTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/SameSiteNoneIncompatibleClientChecker.java,io.undertow.util.SameSiteNoneIncompatibleClientChecker,0.699685535,636,0.901960784,False,False,False,False,False,False,False,False,157,1475.6112033207544,50,2,38,38,7,1,66,66,0,12,0.01818181818181818,1,0.08333333333333333,0,0,0.0,12,7,0,7,34,144,881.8532120550183,8,4,6,6,4,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,4,0,0,4,False,False,False,False,False,False,False,False,0.7488987743854523,0.33115099370479584
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/LocaleUtilsTestCase.java,io.undertow.util.LocaleUtilsTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/LocaleUtils.java,io.undertow.util.LocaleUtils,0.117647059,51,0.10526315800000001,False,False,False,False,False,False,False,False,79,528.9441547035593,14,4,11,11,0,0,3,3,0,2,0.0,0,0.0,0,0,0.0,3,0,0,0,11,18,41.940251829755866,3,5,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,False,False,False,False,False,False,False,False,0.5970049401124319,0.7108088731765747
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/PathMatcherTestCase.java,io.undertow.util.PathMatcherTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/PathMatcher.java,io.undertow.util.PathMatcher,0.518624642,349,0.6987951809999999,False,True,False,False,False,False,False,False,249,1742.993955150385,58,7,44,44,5,5,56,21,35,36,0.2948717948717949,2,0.3428571428571429,0,0,0.0,14,5,0,5,41,138,697.0223295113409,27,4,23,23,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,10,False,False,False,False,False,False,False,False,0.7660555640856425,0.8683782666921616
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/HeaderTokenParserTestCase.java,io.undertow.util.HeaderTokenParserTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/HeaderTokenParser.java,io.undertow.util.HeaderTokenParser,0.662082515,509,0.836065574,False,False,False,False,False,False,False,False,143,836.6134780792595,14,3,12,12,6,3,0,0,1,1,0.0,0,0.5833333333333334,0,0,0.0,2,6,0,5,10,40,66.64409020350408,5,6,4,4,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1,False,False,False,False,False,False,False,True,0.3936265781521797,0.10567409545183183
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/HttpStringTestCase.java,io.undertow.util.HttpStringTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/HttpString.java,io.undertow.util.HttpString,0.462925852,998,0.43697479,True,False,False,False,False,False,False,False,382,2600.88845547705,71,10,43,43,6,5,181,0,197,208,0.5156695156695157,4,0.17346938775510204,0,0,0.0,28,7,1,6,72,82,352.3102376991401,15,9,11,11,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,5,False,False,False,False,False,False,False,False,0.8560827502182552,0.6820644438266754
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/HeaderMapTestCase.java,io.undertow.util.HeaderMapTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/HeaderMap.java,io.undertow.util.HeaderMap,0.357334355,2611,0.472553699,True,True,False,False,False,False,False,False,874,3217.381917763437,155,6,99,99,6,4,1398,1256,142,265,0.1414141414141414,10,0.10714285714285714,0,0,0.0,56,6,0,3,189,100,485.66728846829636,41,10,37,37,1,1,6,6,0,0,-1.0,3,0.25,0,0,0.0,4,1,0,1,5,False,False,False,True,False,False,False,False,0.6167407706712505,0.4800688121467829
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/URLUtilsTestCase.java,io.undertow.util.URLUtilsTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/URLUtils.java,io.undertow.util.URLUtils,0.41833810899999996,1396,0.532110092,True,True,False,False,False,False,False,False,352,2656.121042501485,35,4,24,24,4,3,55,55,0,3,-0.15555555555555556,3,0.09090909090909093,0,0,0.0,11,4,0,4,35,122,517.8227103434896,33,11,23,23,1,1,44,43,1,1,-0.2222222222222222,8,0.2,0,0,0.0,10,1,1,0,16,False,False,False,False,False,False,True,False,0.6212290254731972,0.6734243720769882
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/PathTemplateTestCase.java,io.undertow.util.PathTemplateTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/PathTemplate.java,io.undertow.util.PathTemplate,0.5783059110000001,1641,0.8012048190000001,True,True,False,False,False,False,False,False,379,2514.186774817585,39,7,29,29,6,4,23,1,22,27,0.5,1,0.4166666666666667,0,0,0.0,10,6,0,5,38,140,737.2321554672153,26,7,20,20,0,0,15,15,0,2,-0.3,0,0.0,0,0,0.0,6,0,0,0,9,False,False,False,False,False,False,False,True,0.7340803643067678,0.682258584536612
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/HeaderValuesTestCase.java,io.undertow.util.HeaderValuesTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/HeaderValues.java,io.undertow.util.HeaderValues,0.171392827,2398,0.257692308,True,True,False,False,False,False,False,False,582,2657.634435079133,115,9,57,57,6,5,1368,1083,285,341,0.17794486215538846,9,0.15517241379310345,0,0,0.0,58,6,0,1,179,84,301.43122074958853,28,4,26,26,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,True,False,False,False,False,0.7896583617247385,0.17635698430240154
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/FlexBase64TestCase.java,io.undertow.util.FlexBase64TestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/FlexBase64.java,io.undertow.util.FlexBase64,0.032738095,336,0.434782609,True,True,False,False,False,False,False,False,1871,9842.726016731573,43,8,16,16,5,2,351,351,0,25,-0.003076923076923077,6,0.0,0,0,0.0,27,5,0,5,104,49,141.12998192752985,10,5,8,8,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,3,False,False,False,True,True,False,False,False,0.8042961399620161,0.3494827747344971
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/ETagUtilsTestCase.java,io.undertow.util.ETagUtilsTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/ETagUtils.java,io.undertow.util.ETagUtils,0.268698061,1083,0.279661017,False,False,False,False,False,False,False,False,305,1321.8322115714916,43,4,33,33,5,2,44,43,1,15,0.16666666666666666,2,0.2,0,0,0.0,10,5,0,4,44,55,134.55873564888876,4,4,3,3,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,1,False,False,False,False,False,False,False,False,0.6981584236025811,0.6860803365707397
undertow,core,483953cbf7691df2b5eb591d0fdc03e91b24d094,/home/dorma10/mutation-analysis/projects/undertow/core/src/test/java/io/undertow/util/CanonicalPathUtilsTestCase.java,io.undertow.util.CanonicalPathUtilsTestCase,/home/dorma10/mutation-analysis/projects/undertow/core/src/main/java/io/undertow/util/CanonicalPathUtils.java,io.undertow.util.CanonicalPathUtils,0.828756058,1238,0.9032258059999999,False,False,False,False,False,False,False,False,189,917.3838188224553,14,2,11,11,7,2,2,1,1,1,-1.0,0,0.6190476190476191,0,0,0.0,3,7,0,1,16,119,391.8540751575691,8,4,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2,False,False,False,False,False,False,True,False,0.4981186234702666,0.7006932497024536
