class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
io.undertow.util.SimpleObjectPool,93,603.1056360638946,5,5,2,2,4,3,0,0,3,3,1.0,0,0.6666666666666666,0,0,0.0,3,4,0,4,5
io.undertow.util.SameSiteNoneIncompatibleClientChecker,157,1475.6112033207542,50,2,38,38,7,1,66,66,0,12,0.01818181818181818,1,0.08333333333333333,0,0,0.0,12,7,0,7,34
io.undertow.util.LocaleUtils,79,528.9441547035593,14,4,11,11,0,0,3,3,0,2,0.0,0,0.0,0,0,0.0,3,0,0,0,11
io.undertow.util.PathMatcher,249,1742.993955150385,58,7,44,44,5,5,56,21,35,36,0.2948717948717949,2,0.34285714285714286,0,0,0.0,14,5,0,5,41
io.undertow.util.HeaderTokenParser,143,836.6134780792595,14,3,12,12,6,3,0,0,1,1,0.0,0,0.5833333333333334,0,0,0.0,2,6,0,5,10
io.undertow.util.HttpString,382,2600.88845547705,71,10,43,43,6,5,181,0,197,208,0.5156695156695157,4,0.17346938775510204,0,0,0.0,28,7,1,6,72
io.undertow.util.HeaderMap,874,3217.3819177634373,155,6,99,99,6,4,1398,1256,142,265,0.1414141414141414,10,0.10714285714285714,0,0,0.0,56,6,0,3,189
io.undertow.util.URLUtils,352,2656.121042501485,35,4,24,24,4,3,55,55,0,3,-0.15555555555555556,3,0.09090909090909091,0,0,0.0,11,4,0,4,35
io.undertow.util.PathTemplate,379,2514.1867748175855,39,7,29,29,6,4,23,1,22,27,0.5,1,0.4166666666666667,0,0,0.0,10,6,0,5,38
io.undertow.util.HeaderValues,582,2657.634435079133,115,9,57,57,6,5,1368,1083,285,341,0.17794486215538846,9,0.15517241379310345,0,0,0.0,58,6,0,1,179
io.undertow.util.FlexBase64,1871,9842.726016731573,43,8,16,16,5,2,351,351,0,25,-0.003076923076923077,6,0.0,0,0,0.0,27,5,0,5,104
io.undertow.util.ETagUtils,305,1321.8322115714914,43,4,33,33,5,2,44,43,1,15,0.16666666666666666,2,0.2,0,0,0.0,10,5,0,4,44
io.undertow.util.CanonicalPathUtils,189,917.3838188224552,14,2,11,11,7,2,2,1,1,1,-1.0,0,0.6190476190476191,0,0,0.0,3,7,0,1,16
io.undertow.util.Cookies,380,2656.442210323743,58,8,49,49,3,1,36,36,0,7,-0.03571428571428571,4,0.1111111111111111,0,0,0.0,9,3,3,0,40
io.undertow.util.SubstringMap,245,1790.9069714389739,40,4,24,24,5,2,70,20,50,59,0.41904761904761906,3,0.3,0,0,0.0,16,5,0,5,64
io.undertow.util.DateUtils,266,1626.574337588163,54,9,39,39,12,6,96,87,9,15,0.01098901098901099,1,0.1111111111111111,0,0,0.0,15,12,0,12,39
io.undertow.server.handlers.resource.PathResourceManager,485,3622.629199450154,128,20,103,103,14,9,137,0,163,166,0.5144927536231884,1,0.22,0,0,0.0,25,14,0,12,86
io.undertow.server.handlers.cache.CacheHandler,104,658.834446818167,34,9,28,28,2,2,4,0,11,11,0.6,2,0.6666666666666666,0,0,0.0,6,2,0,2,13
